movie_id,title,genres,movie_idx,genres_clean
1,Toy Story (1995),Animation|Children's|Comedy,0,Animation Children's Comedy
2,Jumanji (1995),Adventure|Children's|Fantasy,1,Adventure Children's Fantasy
3,Grumpier Old Men (1995),Comedy|Romance,2,Comedy Romance
4,Waiting to Exhale (1995),Comedy|Drama,3,Comedy Drama
5,Father of the Bride Part II (1995),Comedy,4,Comedy
6,Heat (1995),Action|Crime|Thriller,5,Action Crime Thriller
7,Sabrina (1995),Comedy|Romance,6,Comedy Romance
8,Tom and Huck (1995),Adventure|Children's,7,Adventure Children's
9,Sudden Death (1995),Action,8,Action
10,GoldenEye (1995),Action|Adventure|Thriller,9,Action Adventure Thriller
11,"American President, The (1995)",Comedy|Drama|Romance,10,Comedy Drama Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror,11,Comedy Horror
13,Balto (1995),Animation|Children's,12,Animation Children's
14,Nixon (1995),Drama,13,Drama
15,Cutthroat Island (1995),Action|Adventure|Romance,14,Action Adventure Romance
16,Casino (1995),Drama|Thriller,15,Drama Thriller
17,Sense and Sensibility (1995),Drama|Romance,16,Drama Romance
18,Four Rooms (1995),Thriller,17,Thriller
19,Ace Ventura: When Nature Calls (1995),Comedy,18,Comedy
20,Money Train (1995),Action,19,Action
21,Get Shorty (1995),Action|Comedy|Drama,20,Action Comedy Drama
22,Copycat (1995),Crime|Drama|Thriller,21,Crime Drama Thriller
23,Assassins (1995),Thriller,22,Thriller
24,Powder (1995),Drama|Sci-Fi,23,Drama Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance,24,Drama Romance
26,Othello (1995),Drama,25,Drama
27,Now and Then (1995),Drama,26,Drama
28,Persuasion (1995),Romance,27,Romance
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,28,Adventure Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,29,Drama
31,Dangerous Minds (1995),Drama,30,Drama
32,Twelve Monkeys (1995),Drama|Sci-Fi,31,Drama Sci-Fi
34,Babe (1995),Children's|Comedy|Drama,32,Children's Comedy Drama
35,Carrington (1995),Drama|Romance,33,Drama Romance
36,Dead Man Walking (1995),Drama,34,Drama
38,It Takes Two (1995),Comedy,35,Comedy
39,Clueless (1995),Comedy|Romance,36,Comedy Romance
40,"Cry, the Beloved Country (1995)",Drama,37,Drama
41,Richard III (1995),Drama|War,38,Drama War
42,Dead Presidents (1995),Action|Crime|Drama,39,Action Crime Drama
43,Restoration (1995),Drama,40,Drama
44,Mortal Kombat (1995),Action|Adventure,41,Action Adventure
45,To Die For (1995),Comedy|Drama,42,Comedy Drama
46,How to Make an American Quilt (1995),Drama|Romance,43,Drama Romance
47,Seven (Se7en) (1995),Crime|Thriller,44,Crime Thriller
48,Pocahontas (1995),Animation|Children's|Musical|Romance,45,Animation Children's Musical Romance
